"","domain","phylum","class","order","family","genus"
"ASV1","d__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter"
"ASV2","d__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanosphaera"
"ASV3","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__Methanomethylophilaceae","g__uncultured"
"ASV4","d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae_(Subgroup_1)","g__Granulicella"
"ASV5","d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Koribacteraceae","g__Candidatus_Koribacter"
"ASV6","d__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Pyrinomonadales","f__Pyrinomonadaceae","g__RB41"
"ASV7","d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured"
"ASV8","d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured"
"ASV9","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__Iamiaceae","g__Iamia"
"ASV10","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV11","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV12","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV13","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV14","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV15","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV16","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV17","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__F0332"
"ASV18","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV19","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
